,title,authors,paper_url,code_url,poster_url,github,live,gh_full_path,missing_http,labeled_url
455,EX2: Exploration with Exemplar Models for Deep Reinforcement Learning,Justin Fu · John Co-Reyes · Sergey Levine,http://papers.nips.cc/paper/by-source-2017-1489,Code will be available from https://sites.google.com/view/ex2exploration,,FALSE,FALSE,FALSE,FALSE,https://github.com/jcoreyes/ex2
528,Optimized Pre-Processing for Discrimination Prevention,Flavio Calmon · Dennis Wei · Bhanukiran Vinzamuri · Karthikeyan Natesan Ramamurthy · Kush R Varshney,http://papers.nips.cc/paper/by-source-2017-2135,https://github.com/fair-preprocessing,,TRUE,TRUE,FALSE,FALSE,https://github.com/fair-preprocessing/nips2017
529,Recycling Privileged Learning and Distribution Matching for Fairness,Novi Quadrianto · Viktoriia Sharmanska,http://papers.nips.cc/paper/by-source-2017-456,http://users.sussex.ac.uk/~nq28/lupi/,,FALSE,TRUE,FALSE,FALSE,
530,From Parity to Preference-based Notions of Fairness in Classification,Muhammad Bilal Zafar · Isabel Valera · Manuel Rodriguez · Krishna Gummadi · Adrian Weller,http://papers.nips.cc/paper/by-source-2017-175,http://fate-computing.mpi-sws.org/,,FALSE,TRUE,FALSE,FALSE,https://github.com/mbilalzafar/fair-classification
539,Balancing information exposure in social networks,Kiran Garimella · Aristides Gionis · Nikos Parotsidis · Nikolaj Tatti,http://papers.nips.cc/paper/by-source-2017-2439,https://users.ics.aalto.fi/kiran/BalanceExposure/,https://users.ics.aalto.fi/kiran/content/nips_2017_poster.pdf,FALSE,TRUE,FALSE,FALSE,https://github.com/gvrkiran/BalancedExposure
549,"ExtremeWeather: A large-scale climate dataset for semi-supervised detection, localization, and understanding of extreme weather events",Evan Racah · Christopher Beckham · Tegan Maharaj · Samira Ebrahimi Kahou · Mr. Prabhat · Chris Pal,http://papers.nips.cc/paper/by-source-2017-1942,https://github.com/eracah/hur-detect extremeweatherdataset.github.io,,TRUE,FALSE,TRUE,FALSE,https://github.com/eracah/hur-detect/tree/keras-tf
561,VEEGAN: Reducing Mode Collapse in GANs using Implicit Variational Learning,Akash Srivastava · Lazar Valkoz · Chris Russell · Michael U. Gutmann · Charles Sutton,http://papers.nips.cc/paper/by-source-2017-1879,https://akashgit.github.io/VEEGAN/,http://akashgit.github.io/veegan.pdf,FALSE,TRUE,FALSE,FALSE,https://github.com/akashgit/VEEGAN
583,Spherical convolutions and their application in molecular modelling,Wouter Boomsma · Jes Frellsen,http://papers.nips.cc/paper/by-source-2017-1952,https://github.com/deepfold,,TRUE,TRUE,FALSE,FALSE,https://github.com/deepfold/NIPS2017
597,Learning to See Physics via Visual De-animation,Jiajun Wu · Erika Lu · Pushmeet Kohli · Bill Freeman · Josh Tenenbaum,http://papers.nips.cc/paper/by-source-2017-121,http://vda.csail.mit.edu,http://vda.csail.mit.edu/talks/vda_poster_nips.pdf,FALSE,TRUE,FALSE,FALSE,
598,Shape and Material from Sound,Zhoutong Zhang · Qiujia Li · Zhengjia Huang · Jiajun Wu · Josh Tenenbaum · Bill Freeman,http://papers.nips.cc/paper/by-source-2017-847,http://sound.csail.mit.edu,http://sound.csail.mit.edu/posters/nips2017_poster.pdf,FALSE,TRUE,FALSE,FALSE,https://github.com/ztzhang/SoundSynth
600,Quantifying how much sensory information in a neural code is relevant for behavior,Giuseppe Pica · Eugenio Piasini · Houman Safaai · Caroline Runyan · Christopher Harvey · Mathew Diamond · Christoph Kayser · Tommaso Fellin · Stefano Panzeri,http://papers.nips.cc/paper/by-source-2017-2051,https://zenodo.org/record/853349,https://files.acrobat.com/a/preview/8451b355-47b9-425f-9a98-254e2eebf511,FALSE,TRUE,FALSE,FALSE,https://github.com/epiasini/SubPID/tree/v0.1.4
602,Deep Hyperalignment,Muhammad Yousefnezhad · Daoqiang Zhang,http://papers.nips.cc/paper/by-source-2017-1021,https://sourceforge.net/projects/myousefnezhad/files/DHA/,https://myousefnezhad.github.io/publications/NIPS2017Poster.pdf,FALSE,TRUE,FALSE,FALSE,
603,Unified representation of tractography and diffusion-weighted MRI data using sparse multidimensional arrays,Cesar F Caiafa · Olaf Sporns · Andrew Saykin · Franco Pestilli,http://papers.nips.cc/paper/by-source-2017-2264,code: http://www.github.com/brain-life/encode  datasets: http://hdl.handle.net/2022/21480,,TRUE,FALSE,TRUE,FALSE,https://github.com/brain-life/encode
609,Process-constrained batch Bayesian optimisation,Pratibha Vellanki · Santu Rana · Sunil Gupta · David Rubin · Alessandra Sutti · Thomas Dorin · Murray Height · Paul Sanders · Svetha Venkatesh,http://papers.nips.cc/paper/by-source-2017-1946,https://github.com/vpratibha/PCBO,,TRUE,FALSE,TRUE,FALSE,
643,PASS-GLM: polynomial approximate sufficient statistics for scalable Bayesian GLM inference,Jonathan Huggins · Ryan Adams · Tamara Broderick,http://papers.nips.cc/paper/by-source-2017-2024,https://bitbucket.org/jhhuggins/pass-glm,,FALSE,TRUE,FALSE,FALSE,https://bitbucket.org/jhhuggins/pass-glm
646,Multi-Information Source Optimization,Matthias Poloczek · Jialei Wang · Peter Frazier,http://papers.nips.cc/paper/by-source-2017-2247,https://github.com/misoKG/,,TRUE,TRUE,FALSE,FALSE,https://github.com/misokg/NIPS2017
653,Dynamic-Depth Context Tree Weighting,Joao V Messias · Shimon Whiteson,http://papers.nips.cc/paper/by-source-2017-1886,https://bitbucket.org/jmessias/vmm_py,,FALSE,TRUE,FALSE,FALSE,https://bitbucket.org/jmessias/vmm_py
